date,BBQ,chicken,recipe,isPartial
2020-11-22,3,37,60,False
2020-11-29,3,35,56,False
2020-12-06,3,33,55,False
2020-12-13,2,34,63,False
2020-12-20,3,35,100,False
2020-12-27,3,41,70,False
2021-01-03,3,43,59,False
2021-01-10,3,47,69,False
2021-01-17,3,47,71,False
2021-01-24,3,50,76,False
2021-01-31,3,46,72,False
2021-02-07,3,47,75,False
2021-02-14,4,46,95,False
2021-02-21,6,43,61,False
2021-02-28,7,41,60,False
2021-03-07,6,43,64,False
2021-03-14,6,42,59,False
2021-03-21,11,43,60,False
2021-03-28,18,40,69,False
2021-04-04,12,41,59,False
2021-04-11,11,39,49,False
2021-04-18,17,36,45,False
2021-04-25,13,38,46,False
2021-05-02,9,38,54,False
2021-05-09,8,36,49,False
2021-05-16,7,36,44,False
2021-05-23,12,35,43,False
2021-05-30,24,36,43,False
2021-06-06,19,34,42,False
2021-06-13,16,34,41,False
2021-06-20,9,33,42,False
2021-06-27,8,33,42,False
2021-07-04,7,35,44,False
2021-07-11,13,35,44,False
2021-07-18,14,34,40,False
2021-07-25,7,34,42,False
2021-08-01,7,35,43,False
2021-08-08,7,36,46,False
2021-08-15,7,35,47,False
2021-08-22,8,34,48,False
2021-08-29,6,35,47,False
2021-09-05,6,32,43,False
2021-09-12,4,34,43,False
2021-09-19,4,35,45,False
2021-09-26,3,35,47,False
2021-10-03,3,36,48,False
2021-10-10,3,35,47,False
2021-10-17,3,35,49,False
2021-10-24,3,35,53,False
2021-10-31,3,35,50,False
2021-11-07,3,35,48,False
2021-11-14,3,35,46,False
2021-11-21,3,32,47,False
2021-11-28,3,33,46,False
2021-12-05,2,33,49,False
2021-12-12,2,30,53,False
2021-12-19,3,34,91,False
2021-12-26,3,35,57,False
2022-01-02,3,43,56,False
2022-01-09,3,43,54,False
2022-01-16,3,40,49,False
2022-01-23,3,43,51,False
2022-01-30,3,45,51,False
2022-02-06,3,42,52,False
2022-02-13,4,40,54,False
2022-02-20,4,39,49,False
2022-02-27,4,40,66,False
2022-03-06,4,42,46,False
